Source,Target,Weight
pulupulumiaw,shadowmonarch39,1
putri_cahya999,brfelindra,1
pwinxrv,temendustin,1
queen_pudjiast,brfelindra,1
radioru20816532,ardisatriawan,1
radixwill,timothyronald22,1
rafli_akbar772,brfelindra,1
rakyatpembaruan,rakyatpembaruan,1
rama7dani,ARSIPAJA,1
rama7dani,CNNIndonesia,1
rama7dani,corbuzier,1
randomnyaakuhh,HabisNontonFilm,1
randomnyaakuhh,pandji,1
raytyyseven,bhagya_loka,1
raytyyseven,tempodotco,1
recyanide,grok,1
recyanide,tempodotco,1
remmy_purba2,brfelindra,1
remotivi,ChangeOrg_ID,1
remotivi,KomnasPerempuan,1
remotivi,saykoji,1
resta_gulayah,brfelindra,1
restumln,kasintayuraaa,1
reubensijokates,angewwie,1
revanagi,oceanbinie,1
rezaimamri,flyezam,1
rezaimamri,footycinephile,1
rezaimamri,lanicolecky,1
ricard_nanda,brfelindra,1
ricizzz,fraviato,1
ricklalana,BudiBukanIntel,1
rickyraz_,helmisatria_,1
ridhoharley,kikysaputrii,1
rinaldidp,ARSIPAJA,1
rioagussetiawan,andikamalreza,1
risfaaa8,nanaakunau,1
robby_rodiyya,MerrMagda,1
ruliemaulana,_haye_,1
ruliemaulana,bungfarid,1
ryan_ahmd8,brfelindra,1
ryu_santos1978,ardisatriawan,1
safiya_indryni,brfelindra,1
san_eclaire,sagitarinoun,1
satyarsa_bk,txtdrimedia,1
sayno_KKN,KompasTV,1
sayno_KKN,kompascom,1
sayno_KKN,puanmaharani_ri,1
scarfacev5778,tilehopper,1
sebenarnyaintel,ramagedd0n,1
secretlifeofnun,Tackcalbmi,1
secretlifeofnun,Widino,1
secretlifeofnun,andri_parcox,1
selviapicauly,DBarkeh49017,1
selviapicauly,pramonoanung,1
selviapicauly,ridwankamil,1
sendalpupus,MikaelDewabrata,1
senikachester,49KDJ51YJH,1
senikachester,cozynnamon,1
senikachester,kegblgnunfaedh,1
senjatanuklir,singingvampir,1
serambinews,tribunnews,2
setengahearti,enumailish,1
sheabuutter_,ARSIPAJA,1
shintaeffendi,sudjiwotedjo,1
shoot_the_sky,senjatanuklir,1
sinardyas,yourbae,1
sinpotv,AJIIndonesia,1
sinpotv,DPR_RI,7
sinpotv,Gerindra,1
sinpotv,MuzaniGerindra,1
sinpotv,NasDem,1
sinpotv,cakimiNOW,1
sinpotv,jokowi,1
sinpotv,prabowo,1
sinpotv,puanmaharani_ri,2
sinpotv,remotivi,1
sirulhaq,jokowi,1
snicktwixchicks,tempodotco,1
someduck_lvr,KemenperinRI,1
someduck_lvr,djaja1995,1
someduck_lvr,frappeelattee,1
soskenthu,mitcukki,1
sosrsaparila,calumhooes,1
sswsmdd37,tilehopper,1
sulistyaninggg,kasintayuraaa,1
sumarsih11,dipanggilwawan,1
supelpowel,twentynarcissus,1
susiloian5,Bambang_Budimab,1
susiloian5,_studyan,1
susiloian5,aniesbaswedan,1
susiloian5,hamdan_thoif,1
sweet_girlyyyy,itsquaileggs,1
tatisamhadi,hariankompas,2
taufikahmd,AJIIndonesia,1
taufikahmd,KasbiIndo,1
taufikahmd,KontraS,1
taufikahmd,PBHI_Nasional,1
taufikahmd,SINDIKASI_,1
taufikahmd,YLBHI,1
taufikahmd,malakaprojectid,1
taufikahmd,remotivi,1
teerdesm,xoxosalman,1
telmidotid,kikysaputrii,1
theMiniNino,fraviato,1
the__1993,roan_gylberth,1
thenextbatutah,KPI,1
thenextbatutah,KPU_ID,1
thenextbatutah,jokoanwar,1
thisismine3x,raffimulyaa,1
tilehopper,remotivi,1
tilehopper,safenetvoice,1
tilehopper,vngnc,1
timbaluss,Dandhy_Laksono,1
timpenguinnas,aniesbubble,1
timpenguinnas,remotivi,3
tinktwtt,jstwillians,1
tio71092401,Y_D_Y_P,1
tipeneee,ARSIPAJA,1
tira_wahyuni66,brfelindra,1
tizaki09,u_nagidon,1
tommysetiady,abigailimuriaa,1
tompocophone,abuhafiz1,1
tompocophone,aidil_rizal2,1
treacher0uz,celliuck,1
tribunjambiku,tribunnews,2
tribunmedan,tribunnews,1
triwahyuutama15,rhgps,1
tukismind,Adriandhy,1
tukismind,ekraf_ri,1
txtdaritaxpayer,BocorAlusPol,1
txtdrstrangers,Istricantikmuu,1
txtdrstrangers,timpenguinnas,1
txtjiminn,gukzie,1
und_cuckoosnest,BangWin04,1
und_cuckoosnest,BocorAlusPol,1
und_cuckoosnest,NurHamidan1,1
und_cuckoosnest,PDI_Perjuangan,2
und_cuckoosnest,SuryaAj81671816,1
und_cuckoosnest,ernestprakasa,1
und_cuckoosnest,zainalamochtar,1
unseisocat,HaveAniesDay,1
utiyanath,ardisatriawan,1
valreeiii,kenxexey,1
vaneloody,jackjackparrr,1
vaneloody,pulupulumiaw,1
verrianto_m,darilautID,1
vio_phile24,sucrethyun,1
